======================================================================
ASPEN PLUS DEEP BLOCK INSPECTION
======================================================================
Loading: C:\Program Files\AspenTech\Aspen Plus V14.0\GUI\Examples\Hydrogen\Alkaline electrolysis\Industrial Scale Alkaline Electrolyzer\Industrial Scale Alkaline Electrolyzer.bkp
Inspecting Block: B1
  B1 | Path: \B1 | Value: V-DRUM1
    Input | Path: \B1\Input | Value: None
      Unit Set | Path: \B1\Input\Unit Set | Value: SI
      User Table | Path: \B1\Input\User Table | Value: 0
      User Tree | Path: \B1\Input\User Tree | Value: 0
      ADDINPUT | Path: \B1\Input\ADDINPUT | Value: None
      ALWAYS_INST | Path: \B1\Input\ALWAYS_INST | Value: NO
      AUTO_COMPS | Path: \B1\Input\AUTO_COMPS | Value: None
      AUTO_COMPS_T | Path: \B1\Input\AUTO_COMPS_T | Value: 0.0
      AUTO_PHASE | Path: \B1\Input\AUTO_PHASE | Value: YES
      AUTO_PHASE_T | Path: \B1\Input\AUTO_PHASE_T | Value: 0.1
      BLKOPFREWAT | Path: \B1\Input\BLKOPFREWAT | Value: NO
      BOUND_TYPE | Path: \B1\Input\BOUND_TYPE | Value: None
      BYPASS | Path: \B1\Input\BYPASS | Value: 0.0
      CHECK_FREE_W | Path: \B1\Input\CHECK_FREE_W | Value: YES
      CHEMISTRY | Path: \B1\Input\CHEMISTRY | Value: GLOBAL
      CHEM_METHOD | Path: \B1\Input\CHEM_METHOD | Value: YES
      COMMENT | Path: \B1\Input\COMMENT | Value: None
      COMPBAL | Path: \B1\Input\COMPBAL | Value: NOCOMPBAL
      CONST_METHOD | Path: \B1\Input\CONST_METHOD | Value: EQUI-MASS
      COORD | Path: \B1\Input\COORD | Value: None
      CPEQP | Path: \B1\Input\CPEQP | Value: 500.0
      CPMED | Path: \B1\Input\CPMED | Value: 4200.0
      CUMFRAC | Path: \B1\Input\CUMFRAC | Value: None
      CUM_SUBSATT | Path: \B1\Input\CUM_SUBSATT | Value: None
      DERIV_METHOD | Path: \B1\Input\DERIV_METHOD | Value: None
      DESCRIPTION | Path: \B1\Input\DESCRIPTION | Value: None
      DIAMETER | Path: \B1\Input\DIAMETER | Value: None
      DUM_CUMATT | Path: \B1\Input\DUM_CUMATT | Value: None
      DUM_INTERVAL | Path: \B1\Input\DUM_INTERVAL | Value: None
      DUM_LIMUNITS | Path: \B1\Input\DUM_LIMUNITS | Value: None
      DUM_LOWER | Path: \B1\Input\DUM_LOWER | Value: None
      DUM_SUBSATT | Path: \B1\Input\DUM_SUBSATT | Value: None
      DUM_UPPER | Path: \B1\Input\DUM_UPPER | Value: None
      DUTY | Path: \B1\Input\DUTY | Value: 0.0
      DUTY_TOL | Path: \B1\Input\DUTY_TOL | Value: None
      EMBEDDED | Path: \B1\Input\EMBEDDED | Value: 0
      ENABLED | Path: \B1\Input\ENABLED | Value: None
      ENERGY_BAL | Path: \B1\Input\ENERGY_BAL | Value: YES
      ENTRN | Path: \B1\Input\ENTRN | Value: 0.0
      EOVAR_TYPE | Path: \B1\Input\EOVAR_TYPE | Value: None
      EO_COMPS | Path: \B1\Input\EO_COMPS | Value: None
      EO_COMP_TOL | Path: \B1\Input\EO_COMP_TOL | Value: 1e-15
      EO_DEP_COMPS | Path: \B1\Input\EO_DEP_COMPS | Value: None
      EO_FORM | Path: \B1\Input\EO_FORM | Value: None
      EO_HEAVY_KEY | Path: \B1\Input\EO_HEAVY_KEY | Value: None
      EO_L2_COMP | Path: \B1\Input\EO_L2_COMP | Value: None
